AIDP,ID,GENDER,NATIONALITY,MOHAFAZA,MAJOR_DESC,UG/GR,Med Student (Yes/No),New Student (Yes/No),GPA,Column1,TUITION,FATHER_STATUS,FATHER_JOB_STATUS,FATHER_INCOME,MOTHER_STATUS,MOTHER_JOB_STATUS,MOTHER_INCOME,SIBLING_AUB,SIBLING_UNIVERSITY,SIBLING_SCHOOL,TOTAL_SIBLING_INCOME,OTHER_RESOURCE,Othere resources (yes/no),STUDENT_STATMENT,Student statement (applicaple/non applicable),PERC,Main priorities,High/low priorities,ACAD_STAND
FA,2044,F,Lebanon,South,Electrical & Computer Eng'g,UG,No,No,87.1,A ,11362,Married,Employed,17683,Married,Never Worked,0,0,2,0,0,none,no,none,non applicable,35,priority 3,1,Good Standing
FA,2045,F,Lebanon,South,Microbiology & Immunology,GR,No,No,,,9279,Married,Employed,89522.55,Married,Employed,29177.72,0,2,0,0,none,no,none,non applicable,20,priority 3,0,Good Standing
FA,2046,F,Lebanon,Beirut,Biology,UG,No,No,90.2,A,11625,Deceased,UnEmloyed,0,Widowed,SelfEmployed,21525.2,0,0,1,0,none,no,none,non applicable,20,priority 3,0,Good Standing
FA,2047,F,Lebanon,Beirut,Business Administration,UG,No,No,83.7,A-,12690,Married,Self-Employed,49734.75,Married,Employed,31940.32,0,0,2,0,"
annual interest amount
",yes,none,non applicable,15,priority 4,0,Good Standing
FA,2048,M,Lebanon,Beirut,Business Administration,UG,No,No,3.1,B+,12690,Married,Employed,43906,Married,Employed,19827,0,1,1,12016,educational benefits,yes,none,non applicable,20,priority 3,0,Good Standing
FA,2049,M,Lebanon,n/a,Business Administration,UG,No,No,78.7,B ,10152,Separated,Employed,33156.5,Separated,UnEmployed,0,1,0,0,0,Benefits from employer,yes,none,non applicable,35,priority 3,1,Good Standing
FA,2050,M,Lebanon,Mount Lebanon,Business Administration,UG,No,No,72.6,B-,2538,Married,UnEmloyed,70000,Married,UnEmployed,0,1,0,1,0,none,no,none,non applicable,15,priority 4,0,Good Standing
FA,2051,M,Lebanon,South,Civil Engineering,UG,No,No,2.8,B,13110,Married,Employed,42328,Married,UnEmployed,0,0,1,0,0,"
Educational Benefit",yes,none,non applicable,25,priority 3,0,Good Standing
FA,2052,M,Lebanon,Mount Lebanon,Architecture,UG,No,No,82.8,B+,10488,Married,Retired,0,Married,Never Worked,0,1,0,1,0,"
income from sold lands",yes,none,non applicable,15,priority 4,0,Good Standing
FA,2053,M,Lebanon,Mount Lebanon,Biology,UG,No,No,77.4,B ,9300,Married,Employed,45092.84,Married,Employed,8960.21,0,0,2,0,none,no,none,non applicable,25,priority 3,0,Good Standing
FA,2054,F,Lebanon,Nabatieh,Building Energy Systems,GR,No,No,,,1500,Married,Self-Employed,15915.12,Married,Never Worked,0,0,0,2,0,Selling olives and olive oil,yes,none,non applicable,40,priority 2,1,Good Standing
FA,2055,F,Lebanon,Beirut,Business Administration,UG,No,No,3.3,B+,12690,Married,UnEmloyed,0,Married,Never Worked,0,0,0,0,23625.92,none,no,none,non applicable,40,priority 2,1,Good Standing
FA,2056,M,Lebanon,South,Business Administration,UG,No,No,75.5,B,12690,Married,Employed,36000,Married,Employed,48000,1,0,0,0,none,no,none,non applicable,25,priority 3,0,Good Standing
FA,2057,M,Lebanon,Nabatieh,Computer & Communications Eng.,UG,No,No,3.6,A-,13110,Married,Self-Employed,35809.02,Married,UnEmployed,0,0,0,3,0,none,no,none,non applicable,50,priority 2,1,Good Standing
FA,2058,M,Lebanon,Beirut,Mechanical Engineering,UG,No,No,4,A ,13110,Married,Employed,11936.34,Married,UnEmployed,0,0,0,0,5697.94,Annual income from rent of assets,yes,none,non applicable,40,priority 2,1,Good Standing
FA,2059,F,Lebanon,Mount Lebanon,Chemical Engineering,UG,No,No,3.1,B+,13110,Married,Employed,247949.6,Married,UnEmployed,0,0,0,2,0,interest on cash savings,yes,none,non applicable,15,priority 4,0,Good Standing
